Date UTC,site-Jaguar 1-Pset (mean),site-Jaguar 1-UnitsOnline (mean),site-Jaguar 1-BESSkW (mean),site-Jaguar 1-AllowedMaxP (mean),site-Jaguar 1-AllowedMinP (mean),site-Jaguar 1-PCS_P (mean),meter-Jaguar 1-kW (mean),meter-Jaguar 1-kVAR (mean),meter-Jaguar 1-Voltage (mean),meter-Jaguar 1-PF (mean),meter-Jaguar 1-Hz (mean),site-Jaguar 1-Qset (mean),site-Jaguar 1-PCS_Q (mean),site-Jaguar 1-AllowedMaxQ (mean),site-Jaguar 1-AllowedMinQ (mean),site-Jaguar 1-HS-CONTROL-P (mean),site-Jaguar 1-HS-CONTROL-Q (mean),site-Jaguar 1-RTAC_P (mean),site-Jaguar 1-RTAC_Q (mean)
2025-08-14T19:01:08.000+00:00,0,42,51,150000,-150000,0,723.265564,-138.890305,354.812154,0.417978,60.01627,0,-253.262777,144543.1168,-144543.1168,0,-254.76257063333335,0,10
2025-08-14T19:01:09.000+00:00,0,42,49,150000,-150000,0,723.265564,-138.890305,354.670949,0.417978,60.01627,0,-254.999289,144527.1264,-144527.1264,0,-254.96186532258062,0,10
2025-08-14T19:01:10.000+00:00,0,42,51,150000,-150000,0,723.265564,-138.890305,354.696869,0.417978,60.01627,0,-258.826098,144535.5424,-144535.5424,0,-256.521402,0,10
2025-08-14T19:01:11.000+00:00,0,42,47,150000,-150000,0,723.265564,-156.715851,354.672129,0.417978,60.01627,0,-257.212466,144530.9136,-144530.9136,0,-256.86552811999996,0,10
2025-08-14T19:01:12.000+00:00,0,42,47,150000,-150000,0,723.265564,-156.715851,354.672129,0.417978,60.01627,0,-257.212466,144530.9136,-144530.9136,0,-251.4372381666667,0,10
2025-08-14T19:01:13.000+00:00,0,42,49,150000,-150000,0,723.265564,-152.849701,354.686045,0.417978,60.01627,0,-252.000193,144551.112,-144551.112,0,-251.46462240000005,0,10
2025-08-14T19:01:14.000+00:00,0,42,49,150000,-150000,0,723.265564,-152.849701,354.686045,0.417978,60.01627,0,-249.989075,144535.1216,-144535.1216,0,-252.54139899999998,0,10
2025-08-14T19:01:15.000+00:00,0,42,53,150000,-150000,0,723.265564,-152.849701,354.74586,0.417978,60.01627,0,-253.510824,144546.904,-144546.904,0,-254.97920870000004,0,10
2025-08-14T19:01:16.000+00:00,0,42,53,150000,-150000,0,723.265564,-152.849701,354.689596,0.417978,60.01627,0,-249.386847,144578.464,-144578.464,0,-251.7914225483871,0,10
2025-08-14T19:01:17.000+00:00,0,42,57,150000,-150000,0,723.265564,-135.718216,354.904256,0.417978,60.01627,0,-256.459825,144537.6464,-144537.6464,0,-254.4278563333333,0,10
2025-08-14T19:01:18.000+00:00,0,42,52,150000,-150000,0,723.265564,-153.066727,354.621328,0.428397,60.01627,0,-253.525136,144555.32,-144555.32,0,-254.3400217333334,0,10
2025-08-14T19:01:19.000+00:00,0,42,54,150000,-150000,0,723.265564,-153.066727,354.765788,0.428397,60.01627,0,-252.963955,144545.2208,-144545.2208,0,-253.7414500333333,0,10
2025-08-14T19:01:20.000+00:00,0,42,61,150000,-150000,0,723.265564,-153.066727,354.646311,0.428397,60.01627,0,-253.876873,144549.8496,-144549.8496,0,-254.806488483871,0,10
2025-08-14T19:01:21.000+00:00,0,42,55,150000,-150000,0,723.265564,-153.066727,354.779704,0.428397,60.01627,0,-251.688556,144528.3888,-144528.3888,0,-252.07098100000005,0,10
2025-08-14T19:01:22.000+00:00,0,42,53,150000,-150000,0,723.265564,-153.066727,354.592865,0.428397,60.01627,0,-255.971027,144542.2752,-144542.2752,0,-254.80918232258057,0,10
2025-08-14T19:01:23.000+00:00,0,42,40,150000,-150000,0,723.265564,-153.066727,354.777049,0.428397,60.01627,0,-258.452482,144561.632,-144561.632,0,-259.39022823333323,0,10
2025-08-14T19:01:24.000+00:00,0,42,50,150000,-150000,0,723.265564,-153.066727,354.606781,0.428397,60.01627,0,-262.581086,144520.3936,-144520.3936,0,-261.56602146666677,0,10
2025-08-14T19:01:25.000+00:00,0,42,48,150000,-150000,0,723.265564,-153.066727,354.574382,0.428397,60.01627,0,-255.423945,144535.1216,-144535.1216,0,-255.60291446666665,0,10
2025-08-14T19:01:26.000+00:00,0,42,46,150000,-150000,0,723.265564,-142.249847,354.7105,0.428397,60.01627,0,-252.229552,144560.7904,-144560.7904,0,-252.3608436451613,0,10
2025-08-14T19:01:27.000+00:00,0,42,44,150000,-150000,0,723.265564,-142.249847,354.811289,0.428397,60.01627,0,-255.15325,144557.8448,-144557.8448,0,-253.59965935000005,0,10
2025-08-14T19:01:28.000+00:00,0,42,48,150000,-150000,0,723.265564,-152.251282,354.652161,0.428397,60.01627,0,-254.073362,144503.5616,-144503.5616,0,-253.49564300000003,0,10
2025-08-14T19:01:29.000+00:00,0,42,52,150000,-150000,0,723.265564,-152.251282,354.652161,0.428397,60.01627,0,-248.934367,144527.5472,-144527.5472,0,-249.57533758064514,0,10
2025-08-14T19:01:30.000+00:00,0,42,49,150000,-150000,0,723.265564,-152.251282,354.678741,0.428397,60.01627,0,-246.098216,144519.9728,-144519.9728,0,-247.30001106666666,0,10
2025-08-14T19:01:31.000+00:00,0,42,43,150000,-150000,0,723.265564,-152.251282,354.619181,0.428397,60.01627,0,-246.127395,144556.5824,-144556.5824,0,-246.97056400000005,0,10
2025-08-14T19:01:32.000+00:00,0,42,49,150000,-150000,0,723.265564,-152.251282,354.839762,0.428397,60.01627,0,-250.244877,144537.6464,-144537.6464,0,-249.6548004193549,0,10
2025-08-14T19:01:33.000+00:00,0,42,48,150000,-150000,0,723.265564,-152.251282,354.744904,0.428397,60.01627,0,-250.750644,144584.3552,-144584.3552,0,-251.95640316666672,0,10
2025-08-14T19:01:34.000+00:00,0,42,46,150000,-150000,0,723.265564,-152.251282,354.860179,0.428397,60.01627,0,-253.647796,144552.3744,-144552.3744,0,-253.43835816666663,0,10
2025-08-14T19:01:35.000+00:00,0,42,43,150000,-150000,0,723.265564,-152.251282,354.700297,0.428397,60.01627,0,-252.740476,144560.7904,-144560.7904,0,-253.4375756,0,10
2025-08-14T19:01:36.000+00:00,0,42,43,150000,-150000,0,723.265564,-136.375793,354.861257,0.428397,60.01627,0,-256.390152,144530.4928,-144530.4928,0,-255.690845,0,10
2025-08-14T19:01:37.000+00:00,0,42,48,150000,-150000,0,723.265564,-147.713654,354.581777,0.428397,60.01627,0,-253.986019,144518.2896,-144518.2896,0,-254.20492170000003,0,10
2025-08-14T19:01:38.000+00:00,0,42,54,150000,-150000,0,723.265564,-147.713654,354.734426,0.428397,60.01627,0,-254.62089,144549.8496,-144549.8496,0,-254.6107927,0,10
2025-08-14T19:01:39.000+00:00,0,42,54,150000,-150000,0,723.265564,-147.713654,354.734426,0.428397,60.01627,0,-254.62089,144549.8496,-144549.8496,0,-253.46543251612903,0,10
2025-08-14T19:01:40.000+00:00,0,42,54,150000,-150000,0,723.265564,-147.713654,354.734426,0.428397,60.01627,0,-254.62089,144549.8496,-144549.8496,0,-248.96718333333334,0,10
2025-08-14T19:01:41.000+00:00,0,42,59,150000,-150000,0,723.265564,-147.713654,354.593618,0.428397,60.01627,0,-253.835256,144525.0224,-144525.0224,0,-252.74862900000005,0,10
2025-08-14T19:01:42.000+00:00,0,42,63,150000,-150000,0,723.265564,-147.713654,354.630768,0.428397,60.01627,0,-253.534221,144525.4432,-144525.4432,0,-254.7336435161291,0,10
2025-08-14T19:01:43.000+00:00,0,42,65,150000,-150000,0,723.265564,-147.713654,354.645803,0.428397,60.01627,0,-256.897744,144566.2608,-144566.2608,0,-256.7677684782608,0,10
